OBJECTID,SiteID,DamageID1,ConfidenceID,SensorDate,SensorID,Settlement_Name,DamageCause,DatePeriod,CountyID,Shape_Length,Shape_Area,Lat,Long,DatePeriodStart,DatePeriodEnd,Start Dt,End Dt,Radius (m)
391,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001063326,9.00E-08,36.22219316,37.18971494,2/6/14,2/20/14,98,112,20.87562418
392,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000821022,5.36E-08,36.21946381,37.1892757,2/6/14,2/20/14,98,112,16.11832481
393,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Unknown / Uncertain,6FEB14-20FEB14,760,0.000680228,3.68E-08,36.21981413,37.1905553,2/6/14,2/20/14,98,112,13.35428549
394,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Unknown / Uncertain,6FEB14-20FEB14,760,0.000576691,2.65E-08,36.21634907,37.19227257,2/6/14,2/20/14,98,112,11.32138888
395,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.00097883,7.62E-08,36.21728731,37.19189757,2/6/14,2/20/14,98,112,19.21618413
396,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001470151,1.72E-07,36.21409971,37.19478688,2/6/14,2/20/14,98,112,28.86104118
397,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001441195,1.65E-07,36.22195839,37.19514656,2/6/14,2/20/14,98,112,28.29403736
398,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001085475,9.38E-08,36.2249789,37.19661434,2/6/14,2/20/14,98,112,21.310838
399,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000956221,7.28E-08,36.22805207,37.2060334,2/6/14,2/20/14,98,112,18.77361503
400,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000913334,6.64E-08,36.22738183,37.20536651,2/6/14,2/20/14,98,112,17.93155708
401,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001071792,9.14E-08,36.22741784,37.20684688,2/6/14,2/20/14,98,112,21.04253238
402,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001001123,7.98E-08,36.23051025,37.20912798,2/6/14,2/20/14,98,112,19.65550981
403,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001286269,1.32E-07,36.22759378,37.20961295,2/6/14,2/20/14,98,112,25.25339298
404,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001181291,1.11E-07,36.22969784,37.20859469,2/6/14,2/20/14,98,112,23.19265271
405,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000965852,7.42E-08,36.22677541,37.20803075,2/6/14,2/20/14,98,112,18.96256235
406,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000871869,6.05E-08,36.23042061,37.20625999,2/6/14,2/20/14,98,112,17.117767
407,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001466762,1.71E-07,36.2345217,37.20838974,2/6/14,2/20/14,98,112,28.79832744
408,Field,Impact Crater (Damage to Field),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.000620869,3.07E-08,36.22569917,37.20149341,2/6/14,2/20/14,98,112,12.18940689
409,Building (General / Default),Destroyed (bld),Very High,2/20/2014,Pleadies 1A/B,Aleppo,Air Strike / Missile (SSM),6FEB14-20FEB14,760,0.001116876,9.93E-08,36.22422963,37.20570019,2/6/14,2/20/14,98,112,21.92724098
